iter	RMSE
187	0.5197188308
188	0.5192756625
189	0.5190303354
190	0.5187488357
191	0.5185244252
192	0.5182628272
193	0.5178796571
194	0.5176456674
195	0.5173545231
196	0.5171554636
197	0.5168407179
198	0.516533298
199	0.5162136621
200	0.5159877155
201	0.5156511666
202	0.5153620224
203	0.5150765701
204	0.5147825837
205	0.5145240233
206	0.5141038569
207	0.5137540099
208	0.5135266651
209	0.5132173598
210	0.5129586364
211	0.5127146648
212	0.5124058374
213	0.5120790934
214	0.5118182865
215	0.5114711844
216	0.511159723
217	0.5107682843
218	0.5104319376
219	0.51009752
220	0.5097701985
221	0.5094193742
222	0.5091210176
223	0.5087404271
224	0.5084097665
225	0.5081830602
226	0.5079794321
227	0.5077363137
228	0.507526868
229	0.5072987592
230	0.5070331103
231	0.5067246612
232	0.5064387364
233	0.5061349464
234	0.5057923785
235	0.5055325311
236	0.5052656702
237	0.505047444
238	0.5048261583
239	0.5045882128
240	0.5042893734
241	0.503968637
242	0.5037362069
243	0.5034221334
244	0.503123615
245	0.5028900813
246	0.5026886711
247	0.5023888564
248	0.502041637
249	0.501744764
250	0.5014892574
251	0.5013311997
252	0.5010344464
253	0.500737494
254	0.5004412299
255	0.5001782633
256	0.4999244632
257	0.4996250232
258	0.499319486
259	0.4990629078
260	0.4988770401
261	0.4986433485
262	0.498191001
263	0.497955749
264	0.4976540202
265	0.4974583828
266	0.4971888855
267	0.4969056434
268	0.4967075199
269	0.4965312207
270	0.496271732
271	0.4960787238
272	0.4959006177
273	0.49557905
274	0.4953378008
275	0.4950015617
276	0.4947153557
277	0.4946002811
278	0.4943628024
279	0.4941091033
280	0.4938721947
281	0.4936427319
282	0.4934851432
283	0.4932725082
284	0.4929776032
285	0.4927215483
286	0.4924829496
287	0.4921503477
288	0.4919447516
289	0.4917371395
290	0.4915309479
291	0.4912385613
292	0.4909848622
293	0.4908365
294	0.4905710518
295	0.490404929
296	0.4902132154
297	0.4899396167
298	0.4896874704
299	0.4894676085
300	0.4892719834
301	0.4890746781
302	0.4888151254
303	0.4886276957
304	0.4883390712
305	0.4879425814
306	0.4878001023
307	0.4875406673
308	0.4872387496
309	0.4870218192
310	0.4867529578
311	0.486505932
312	0.4862304524
313	0.4860155347
314	0.4858411327
315	0.4855567338
316	0.4853372313
317	0.4850813082
318	0.4849068382
319	0.4847526441
320	0.4844984539
321	0.4842689375
322	0.4840337429
323	0.4837296208
324	0.4835858185
325	0.4833529716
326	0.4831523844
327	0.4829097091
328	0.4827075735
329	0.4825020996
330	0.4823224036
331	0.4819460097
332	0.4817058247
333	0.4814304142
334	0.4812464298
335	0.4810918008
336	0.4809083345
337	0.4806761116
338	0.4805241777
339	0.4803784826
340	0.4800853751
341	0.4799022772
342	0.479729175
343	0.4794463873
344	0.4791337393
345	0.4790023301
346	0.4788617395
347	0.4786436759
348	0.478370141
349	0.4781479416
350	0.4779194017
351	0.4777323198
352	0.4774960942
353	0.4771469971
354	0.476945586
355	0.4766564154
356	0.4764891933
357	0.4761671928
358	0.4758983578
359	0.4757013547
360	0.4754422363
361	0.475253483
362	0.474989105
363	0.4746542754
364	0.4745306827
365	0.4742084969
366	0.4738301002
367	0.4736715376
368	0.473405672
369	0.4731895523
370	0.4729545721
371	0.47274976
372	0.4724974704
373	0.4722837127
374	0.4720309861
375	0.471654905
376	0.4713256011
377	0.4711649659
378	0.4708601482
379	0.470625301
380	0.4703153778
381	0.4700264085
382	0.4698558212
383	0.4697188963
384	0.469507866
385	0.4693360548
386	0.4690632438
387	0.4688134994
388	0.4685044592
389	0.4682243856
390	0.4679089079
391	0.4677202178
392	0.4674393762
393	0.4671362486
394	0.4668554578
395	0.4665685984
396	0.4662685713
397	0.4661196922
398	0.4659370415
399	0.4656854056
400	0.4654790324
401	0.4651600614
402	0.464925188
403	0.4646870901
404	0.4643791531
405	0.4640811162
406	0.4638783684
407	0.4636271034
408	0.4633411718
409	0.4630948116
410	0.462829983
411	0.4626283102
412	0.4624806975
413	0.4622048993
414	0.4619823117
415	0.4617098345
416	0.4614431483
417	0.4612186671
418	0.4609658918
419	0.4607482413
420	0.4606236526
421	0.4603321894
422	0.4600817283
423	0.4598804649
424	0.4596496827
425	0.4593555785
426	0.4590881153
427	0.4587346794
428	0.458515981
429	0.4582572141
430	0.4580240265
431	0.4578358385
432	0.457576264
433	0.4573770702
434	0.4571586505
435	0.4569697372
436	0.4567272214
437	0.4564923005
438	0.4561461547
439	0.4559724976
440	0.4558439798
441	0.455514814
442	0.4553069523
443	0.4551559349
444	0.4548885519
445	0.4546460389
446	0.4544531984
447	0.4541491946
448	0.4539320331
449	0.4536736445
450	0.4534387831
451	0.4533056987
452	0.453128607
453	0.452891233
454	0.452765886
455	0.4525108983
456	0.4523734837
457	0.4520861314
458	0.4518893723
459	0.4515873617
460	0.4514112246
461	0.4512853163
462	0.4510894249
463	0.4507960826
464	0.4504520706
465	0.4503372257
466	0.4501419799
467	0.4499318643
468	0.449826082
469	0.4495924286
470	0.4493575797
471	0.4492136039
472	0.4491017075
473	0.4489526058
474	0.4487027555
475	0.4484083313
476	0.4481935424
477	0.4479998436
478	0.4477317767
479	0.4475784266
480	0.447293115
481	0.4471771098
482	0.4470482229
483	0.4468917987
484	0.4466684702
485	0.4464774008
486	0.4463017098
487	0.4461296492
488	0.4459831323
489	0.4456450319
490	0.4454603893
491	0.4452338921
492	0.4449757568
493	0.4448845967
494	0.4447359074
495	0.4445392223
496	0.4443808415
497	0.4441459873
498	0.4439964101
499	0.4438109678
