iter	Passed	Remaining
399	36154	9038
400	36214	8940
401	36256	8838
402	36318	8741
403	36373	8643
404	36432	8545
405	36468	8443
406	36519	8344
407	36598	8252
408	36655	8155
409	36714	8059
410	36790	7966
411	36851	7871
412	36911	7775
413	36955	7676
414	37051	7588
415	37139	7499
416	37198	7404
417	37247	7306
418	37305	7211
419	37349	7114
420	37391	7016
421	37437	6919
422	37544	6834
423	37627	6744
424	37712	6655
425	37790	6564
426	37863	6473
427	37927	6380
428	38003	6289
429	38100	6202
430	38156	6108
431	38198	6012
432	38253	5919
433	38342	5830
434	38403	5738
435	38447	5643
436	38509	5551
437	38567	5459
438	38618	5366
439	38691	5276
440	38768	5186
441	38822	5094
442	38872	5001
443	38908	4907
444	38965	4816
445	39025	4725
446	39101	4636
447	39186	4548
448	39229	4455
449	39288	4365
450	39361	4276
451	39412	4185
452	39472	4095
453	39518	4004
454	39562	3912
455	39613	3822
456	39657	3731
457	39692	3639
458	39735	3549
459	39777	3458
460	39820	3368
461	39852	3277
462	39890	3187
463	39931	3098
464	39971	3008
465	40019	2919
466	40093	2833
467	40137	2744
468	40173	2655
469	40217	2567
470	40260	2478
471	40308	2391
472	40356	2303
473	40410	2216
474	40483	2130
475	40518	2042
476	40553	1955
477	40591	1868
478	40642	1781
479	40705	1696
480	40774	1610
481	40836	1525
482	40935	1440
483	41006	1355
484	41078	1270
485	41147	1185
486	41199	1099
487	41250	1014
488	41327	929
489	41395	844
490	41466	760
491	41531	675
492	41589	590
493	41660	506
494	41716	421
495	41770	336
496	41819	252
497	41888	168
498	41948	84
499	42023	0
